Crops,Crop,Crop Year,District Name,Season,Soil,State Name,Type Of  Watersource,Type Of Crop,Area,ARIYALUR,CAUVERY,CHENGLEPUT,COIMBATORE,Cropduration Max,Cropduration Min,CUDDALORE,DHARMAPURI,DINDIGUL,ERODE,HILLY REGIONS OF SHEVROY,JAWAD HILLS,KANCHEEPURAM,KANYAKUMARI,KARUR,KOLLI HILLS,KRISHNAGIRI,MADURAI,Max Temp,Min Temp,NAGAPATTINAM,NAMAKAL,PERAMBALUR,Production,PUDUKKOTTAI,RAMANATHANPURAM,Relative Humidity Max,Relative Humidity Min,SALEM,SIVAGANGAI,Soil Ph High,Soil Ph Low,TANJORE,THALAVADI HILLS,THE NILGRIS,THENI,THIRUCHIRAPALLI,THIRUNELVELI,THIRUPPUR,THIRUVALLUR,THIRUVANNAMALAI,THOOTHUKUDI,TIRUVARUR,VELLORE,VILLUPURAM,VIRUDHUNAGAR,Water Required Min,Waterrequired Max
ragi,Ragi,2002,SIVAGANGA,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,312,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,457,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,SIVAGANGA,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,79744,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,139339,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
varagu,Varagu,2002,SIVAGANGA,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,2,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,2,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,THANJAVUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,3566,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,6061,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,THANJAVUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,187,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,500,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,THANJAVUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,9,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,19,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,THANJAVUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,139186,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,318325,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,2002,THANJAVUR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,18,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,21,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,THANJAVUR,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,3,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,3,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,THE NILGIRIS,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,9,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,20,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
ragi,Ragi,2002,THE NILGIRIS,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,31,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,35,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,THE NILGIRIS,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,1848,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,6229,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,THE NILGIRIS,Kharif,Loamy Soil,Tamil Nadu,both,millets,18,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,13,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
groundnut,Groundnut,2002,THENI,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,4380,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,3827,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,THENI,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,7154,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,14355,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,THENI,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,175,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,304,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,THENI,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,13783,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,54953,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,THENI,Kharif,Loamy Soil,Tamil Nadu,both,millets,199,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,144,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,THENI,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,152,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,131,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,THENI,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,1,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,1,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,THIRUVALLUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,19769,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,59848,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
ragi,Ragi,2002,THIRUVALLUR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,549,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,1093,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,THIRUVALLUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,87758,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,279519,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,THIRUVALLUR,Kharif,Loamy Soil,Tamil Nadu,both,millets,3,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,2,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,THIRUVALLUR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,5,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,6,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
groundnut,Groundnut,2002,THIRUVARUR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,1041,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,2340,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,THIRUVARUR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,14,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,40,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
rice,Rice,2002,THIRUVARUR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,131055,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,112183,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
groundnut,Groundnut,2002,TIRUCHIRAPPALLI,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,9005,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,15616,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,TIRUCHIRAPPALLI,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,3551,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,4916,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,TIRUCHIRAPPALLI,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,102,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,130,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,TIRUCHIRAPPALLI,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,51746,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,154947,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,TIRUCHIRAPPALLI,Kharif,Loamy Soil,Tamil Nadu,both,millets,275,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,199,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,TIRUCHIRAPPALLI,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,2540,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,4698,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,TIRUCHIRAPPALLI,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,477,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,531,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,TIRUNELVELI,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,3697,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,5638,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,TIRUNELVELI,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,6269,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,4915,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,TIRUNELVELI,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,432,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,912,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,TIRUNELVELI,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,66205,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,266289,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,TIRUNELVELI,Kharif,Loamy Soil,Tamil Nadu,both,millets,3,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,2,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,TIRUNELVELI,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,144,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,166,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
groundnut,Groundnut,2002,TIRUVANNAMALAI,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,80288,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,84788,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,TIRUVANNAMALAI,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,16,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,27,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,TIRUVANNAMALAI,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,4113,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,5675,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,TIRUVANNAMALAI,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,43872,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,115453,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,TIRUVANNAMALAI,Kharif,Loamy Soil,Tamil Nadu,both,millets,2361,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,1055,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,TIRUVANNAMALAI,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,11,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,13,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,TIRUVANNAMALAI,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,60,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,67,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,TUTICORIN,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,1684,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,2460,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,TUTICORIN,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,3931,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,2709,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,TUTICORIN,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,207,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,399,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,TUTICORIN,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,14722,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,64496,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,TUTICORIN,Kharif,Loamy Soil,Tamil Nadu,both,millets,1,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,1,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,TUTICORIN,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,956,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,259,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,TUTICORIN,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,1,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,1,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,VELLORE,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,45984,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,53653,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,VELLORE,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,805,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,1335,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,VELLORE,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,5573,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,15596,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,VELLORE,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,26287,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,89863,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,VELLORE,Kharif,Loamy Soil,Tamil Nadu,both,millets,2369,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,946,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,VELLORE,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,30,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,35,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,VELLORE,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,10,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,11,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,VILLUPURAM,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,54041,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,89765,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,VILLUPURAM,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,811,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,1180,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,VILLUPURAM,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,1730,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,2646,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,VILLUPURAM,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,80630,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,241287,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,VILLUPURAM,Kharif,Loamy Soil,Tamil Nadu,both,millets,510,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,369,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,VILLUPURAM,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,73,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,84,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,VILLUPURAM,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,2489,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,4780,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2002,VIRUDHUNAGAR,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,7069,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,3031,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2002,VIRUDHUNAGAR,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,8899,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,18011,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2002,VIRUDHUNAGAR,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,558,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,1049,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2002,VIRUDHUNAGAR,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,31607,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,86662,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
samai,Samai,2002,VIRUDHUNAGAR,Kharif,Loamy Soil,Tamil Nadu,both,millets,32,0,0,0,1,100,80,0,1,1,1,0,0,0,0,0,0,0,1,40,26,0,1,0,23,0,0,20,15,1,0,9,8.5,0,0,0,1,0,1,0,0,1,1,0,1,0,0,480,750
sunflower,Sunflower,2002,VIRUDHUNAGAR,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,820,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,413,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
varagu,Varagu,2002,VIRUDHUNAGAR,Kharif,clay-based soil,Tamil Nadu,rainfed,millets,113,0,0,0,0,120,120,1,1,1,0,0,0,1,0,1,0,1,1,27,25,1,1,1,126,0,1,20,15,1,0,6.5,5.5,1,0,0,1,1,0,0,1,1,0,1,1,1,0,500,900
groundnut,Groundnut,2003,DHARMAPURI,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,21661,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,29153,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2003,DHARMAPURI,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,209,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,230,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2003,DHARMAPURI,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,73175,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,98495,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
rice,Rice,2003,DHARMAPURI,Kharif,Alluvia or loamy and clayey soil,Tamil Nadu,both,cereals,15997,0,0,0,1,150,150,1,1,1,1,0,0,1,1,1,0,1,1,40,20,1,1,1,38810,1,1,80,60,1,1,8,5,1,0,1,1,1,1,0,1,1,1,1,1,1,1,900,2500
sunflower,Sunflower,2003,DHARMAPURI,Kharif,"Loams, silt loams, clay loams, or silty clay loams",Tamil Nadu,both,oil seeds,183,0,0,0,1,95,85,1,1,1,1,0,0,0,0,1,0,0,1,25,20,0,1,1,122,0,1,98,80,1,1,8,6.5,0,0,0,1,1,1,0,0,0,0,0,0,1,1,350,500
groundnut,Groundnut,2003,DINDIGUL,Kharif,Well-drained sandy loam or sandy clay loam soil,Tamil Nadu,both,oil seeds,9461,1,0,0,1,150,140,1,1,1,1,0,0,1,0,1,0,1,1,47,11,1,1,1,17197,1,1,65,65,1,1,7,6.5,1,0,0,1,0,1,1,1,1,1,0,1,1,1,500,700
maize,Maize,2003,DINDIGUL,Kharif,temperate podzols to the leached red soils of the tropics.,Tamil Nadu,both,millets,35153,1,1,1,1,110,105,1,1,1,1,1,1,1,1,1,1,1,1,27,18,1,1,1,69615,1,1,85,60,1,1,7,5.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,500,800
ragi,Ragi,2003,DINDIGUL,Kharif,"red, black, sandy, loamy and shallow black soils.",Tamil Nadu,both,millets,233,1,1,1,1,120,100,1,1,1,1,1,1,1,0,1,1,1,1,27,11,1,1,1,342,1,1,20,15,1,1,8.2,5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,700,1200
